date,price,fast_ma,slow_ma,signal
2025-04-30,94256.35946318062,88240.58677289989,85415.27445844933,1
2025-05-01,94235.75331048168,88972.5565722986,85644.00736407485,1
2025-05-02,96426.94522273028,89621.93942441323,85894.86135276366,1
2025-05-03,96855.5681343944,90199.46296693661,86209.99470496431,1
2025-05-04,95922.86842404422,90815.56538311155,86449.01789023227,1
2025-05-05,94326.62048529249,91305.72378280145,86647.71648240868,1
2025-05-06,94758.8237105546,91860.84034390017,86890.68060655099,1
2025-05-07,96854.53198815876,92498.27797222456,87146.26393437527,1
2025-05-08,97026.493769668,93103.05723190746,87431.19320003098,1
2025-05-09,103076.27555512934,94035.18350105622,87756.40988923942,1
2025-05-10,102962.540456923,94926.97740175146,88130.24382658463,1
2025-05-11,104630.8792994166,95904.86309429324,88542.67075421654,1
2025-05-12,103994.061616746,96731.9638255964,88946.68581571295,1
2025-05-13,102876.8304286011,97196.99705273946,89288.46824130461,1
2025-05-14,104184.49039270742,97725.94895693823,89625.60345522493,1
2025-05-15,103594.42575090707,98212.02953304994,89947.08029193696,1
2025-05-16,103708.8513642364,98658.81650093998,90282.04020823963,1
2025-05-17,103556.03493982446,99104.41492937117,90608.61547542963,1
2025-05-18,103212.36483885496,99574.56628032979,90985.67338910553,1
2025-05-19,106030.6376831359,100124.56784174938,91452.70269169121,1
2025-05-20,105629.41580436694,100693.22065880868,91918.16338554183,1
2025-05-21,106786.71995834044,101320.76899120162,92403.61591162907,1
2025-05-22,109665.86371625264,101982.71491587773,92892.1814338484,1
2025-05-23,111560.356938144,102717.95435606522,93472.86012955842,1
2025-05-24,107216.66856870624,103282.64436329833,93953.91374945501,1
2025-05-25,107831.36374380375,103957.88152622388,94433.50087125115,1
2025-05-26,108861.81037744328,104663.0308595683,94938.81936876451,1
2025-05-27,109377.71513263127,105289.19001679195,95562.14399977715,1
2025-05-28,109068.45694901443,105891.28817575928,96159.92729340591,1
2025-05-29,107838.18431100152,106129.38361355287,96790.10917249945,1
2025-05-30,105745.41660358038,106268.52742088574,97252.5740986618,1
2025-05-31,104010.91956242644,106237.52943403623,97740.86534346016,1
2025-06-01,104687.50742934884,106272.20172466637,98165.82972843839,1
2025-06-02,105710.00593822816,106413.86050014773,98573.92790152441,1
2025-06-03,105884.74263221148,106498.87311212292,99019.60635215775,1
2025-06-04,105434.47745144973,106590.87569715006,99437.82685135685,1
2025-06-05,104812.9182188067,106646.07903987859,99860.95536596136,1
2025-06-06,101650.7387545425,106550.81423061449,100211.85455261878,1
2025-06-07,104409.74967959142,106610.68347265132,100601.43137469042,1
2025-06-08,105681.4546141758,106593.22431920329,101026.38546353087,1
2025-06-09,105692.24740699006,106596.36589933446,101437.69716281029,1
